,bib_number,category,team_name,start_time,year,bikers,place
5334458517422080,174,mixed,Lactic Acid Party,5400,2025,n,73
5340102138003456,217,female,7 Salty Roses,0,2025,n,47
5345657778864128,264,female,Women Hooked On Running & Eating Spaghetti,2700,2025,n,13
5353543338819584,193,mixed,Cirque du Sore Legs,0,2025,n,135
5358324375617536,92,mixed,Kicking Asphalt,900,2025,n,131
5359033582092288,115,mixed,In it to Wine it,5400,2025,n,77
5362702222360576,24,female,Lake It Till You Make It,3600,2025,n,24
5364797159768064,48,male,"High Noon Masters; or, the Modern Brometheus",12600,2025,n,4
5368271083667456,231,female,Chicks on a (Wine) Run,0,2025,n,46
5379315155861504,122,mixed,H-O-T-T-O-G-O,3600,2025,n,31
5379436018925568,29,mixed,UWEREN'T,11700,2025,n,15
5397472062996480,11,mixed,"Ready, Set, Garrett!",12600,2025,n,2
5400272079683584,210,mixed,Sneaky 7,3600,2025,n,130
5408538113343488,7,mixed,The Barr-barians,12600,2025,n,5
5412431668969472,247,mixed,Running Heals,7200,2025,n,64
5413416592211968,173,mixed,Miles of Whining,2700,2025,n,127
5417952077676544,163,mixed,Anonymous VII,5400,2025,n,47
5427983208677376,297,mixed,Flying Pirahnas,12600,2025,n,21
5429597982162944,282,mixed,14 feet to the finish line!,0,2025,n,138
5430288565927936,31,mixed,"716 7RUNNERS, 1 TEAM, 6 BIKES NOT",2700,2025,n,87
5431455052201984,168,mixed,"Support a PT, run without stretching",3600,2025,n,82
5445269277638656,93,mixed,Gotta Baja Blast!,9900,2025,n,25
5446687522816000,70,mixed,"GOFR a Run, Stay for the Wine",0,2025,n,137
5453136449765376,155,male,The Seven Blunders of the World,11700,2025,n,10
5460767499354112,212,mixed,Seneca Seven Superstars,2700,2025,n,128
5463102116069376,241,mixed,ROCovery7,5400,2025,n,72
5480839626358784,251,mixed,Collar City Relay Club,9000,2025,n,39
5494280827174912,152,mixed,Sunday Runday Seven,7200,2025,n,45
5505120687095808,66,male,CWC,12600,2025,n,2
5520173507280896,261,mixed,The Bills Mafia,9900,2025,n,20
5523506536120320,142,mixed,Anonymous XI,0,2025,n,133
5537181711990784,156,female,Sloth Running Team,0,2025,n,30
5571026054283264,57,mixed,"Eight Times, Why Not?",9000,2025,n,34
5574319019130880,219,mixed,2 in the front 5 in the back,12600,2025,n,6
5587425011171328,263,female,Loch Seneca Monsters,7200,2025,n,19
5593873938120704,133,mixed,The Corkscrew Crew,2700,2025,n,129
5601504987709440,126,mixed,Relay Rebels,7200,2025,n,75
5615933494132736,89,female,Hot Mess Express,0,2025,n,41
5621024305446912,151,female,Darlene's Dirty Pickles,0,2025,n,22
5679872135397376,289,mixed,Bad Wolf 2,7200,2025,n,59
5731279739813888,284,mixed,14 Feet on Fire,0,2025,n,132
5775511024304128,160,mixed,Not Sofa King Chafed Anymore,9900,2025,n,33
5775755803885568,162,mixed,Hill Runner Bananas,5400,2025,n,68
5780536840683520,291,mixed,Easier Said Than Run!,0,2025,n,134
5781246047158272,123,mixed,Lost in Pace,0,2025,n,80
5786595663806464,220,mixed,Fellowship of the Run,2700,2025,n,93
5787009624834048,37,mixed,FLX Tri Hards,0,2025,n,139
5787354497286144,185,mixed,Lunatics,0,2025,n,120
5801648483991552,96,mixed,Hills Mafia,0,2025,n,117
5804981512830976,80,mixed,Select Eurocars Speedies,9000,2025,n,41
5818656688701440,164,female,Some Like it Slow,0,2025,n,50
5819684528062464,72,mixed,Dad Bod Dashers and Dudette,5400,2025,n,91
5820975232843776,249,female,Running for the hills,0,2025,n,21
5828090987020288,176,mixed,Buns on the Run,7200,2025,n,141
5830750578409472,206,mixed,Legs Mis̩rables,3600,2025,n,83
5835629057277952,207,mixed,AGS Runs on Glass,5400,2025,n,66
5840164542742528,255,mixed,Scrambled legs,2700,2025,n,105
5842413696319488,10,male,Cornell Automatic,12600,2025,n,1
5850195673743360,99,mixed,Rochester Road Runners,7200,2025,n,23
5851810447228928,254,female,She's like the winded,0,2025,n,40
5852501030993920,27,male,LUNAR Brothers,9000,2025,n,12
5853187755999232,91,mixed,OneNY Fastholes,2700,2025,n,60
5853667517267968,296,mixed,Slackers Run Club,2700,2025,n,96
5853731505569792,136,mixed,Running from BS,0,2025,n,112
5868899987881984,84,mixed,Randomly Kind,5400,2025,n,26
5882979964420096,223,mixed,Peer Pressure,0,2025,n,110
5897408470843392,144,female,The Young and the Breathless,900,2025,n,15
5902499282157568,135,mixed,"Run, Grow, Repeat",5400,2025,n,52
5903052091424768,98,mixed,I Run For Swag,0,2025,n,118
5921983535513600,45,female,FBR's Heart & Sole,900,2025,n,36
5927747113189376,68,mixed,Big Dairy,2700,2025,n,67
5931221037088768,194,mixed,Seal Team 7 2.0,8100,2025,n,51
5939940995104768,277,mixed,"Oh, The Humanities!",0,2025,n,85
5942265109282816,129,mixed,Anonymous X,7200,2025,n,142
5947473193336832,177,mixed,Easier Said than Run,5400,2025,n,49
5960663742545920,222,female,Run Like the Winded,0,2025,n,48
5961347112108032,26,female,INSPIRED[BY]AMY,0,2025,n,33
5963222033104896,205,male,Jerry1 Fantasy Running Squad,8100,2025,n,15
5968828475375616,30,female,"Megaphone, Megafun, Megarun",2700,2025,n,25
5975381622390784,238,mixed,Scrambled Legs,8100,2025,n,27
5976366545633280,17,mixed,My Circus My Monkeys,9900,2025,n,40
5980902031097856,270,mixed,The Nomads,0,2025,n,97
5983151184674816,214,mixed,Where's the whales?,2700,2025,n,11
5990933162098688,170,mixed,Solely delusional,0,2025,n,107
5993925244354560,87,mixed,Seven16ers,9900,2025,n,18
5994405005623296,268,female,Grit and Grace,5400,2025,n,11
6008219231059968,188,mixed,Run Like the Winded,0,2025,n,86
6026052069490688,301,mixed,"Dude, where's my team?!",8100,2025,n,38
6043789579780096,266,mixed,Winosaurs,0,2025,n,116
6057230780596224,225,mixed,Between a Walk and a Hard Pace,0,2025,n,108
6068829473996800,165,mixed,Better At Running Up A Tab,5400,2025,n,54
6083123460702208,131,mixed,Team [censored],5400,2025,n,56
6086456489541632,149,mixed,Fly Like an Eagle,0,2025,n,115
6100131665412096,198,female,Chafing the Dream,0,2025,n,42
6123888673030144,63,female,Pour Decisions,7200,2025,n,12
6133976007704576,51,female,Anonymous XII,7200,2025,n,8
6137268972552192,216,mixed,Empath-Letes,0,2025,n,92
6150374964592640,78,mixed,LF GOFR IT,0,2025,n,190
6156823891542016,62,mixed,"Thank you, sir! May I have another?",5400,2025,n,70
6164454941130752,153,female,Unknowns,0,2025,n,18
6178883447554048,111,mixed,7 Motley Misfits,7200,2025,n,58
6183974258868224,97,mixed,You Can't Be Naked Here,0,2025,n,104
6203458512224256,58,mixed,All Buns No Breaks,9000,2025,n,29
6212696013799424,169,mixed,Robe Runners,2700,2025,n,98
6223740085993472,201,mixed,Here for the Balls,5400,2025,n,69
6230961201086464,233,mixed,Seneca Sloths,5400,2025,n,100
6242138719256576,259,mixed,Fitz Family And Neil,3600,2025,n,37
6242822088818688,22,female,Seven Women Wonders of the World,9900,2025,n,1
6262034618384384,276,mixed,Robe Squadron,2700,2025,n,79
6262377007808512,279,female,Joy's last run!!!,0,2025,n,34
6275400221065216,105,female,It's Ladies' Night!,0,2025,n,51
6275879982333952,52,female,Women of Oregon East,9000,2025,n,2
6292639682920448,234,mixed,"Dude, where's my ride!?!?",0,2025,n,185
6306957157728256,118,mixed,Dead Woman's Glove,0,2025,n,188
6338460977725440,226,mixed,Most Likely to SuckSpeed,8100,2025,n,155
6338705757306880,195,mixed,Pace Buffalo,12600,2025,n,145
6344196000579584,140,mixed,Lactic Acid Droppers,5400,2025,n,167
6349545617227776,190,female,Steph Strong,0,2025,n,38
6350304450707456,94,mixed,Thunder Sisters,0,2025,n,189
6364598437412864,85,female,A Run with a View,7200,2025,n,10
6367931466252288,47,mixed,NO SPEED NO TRUST,900,2025,n,178
6381606642122752,9,mixed,L.O.V.E.M.U.F.F.I.N.,12600,2025,n,144
6383925186265088,283,mixed,The Uncrustables,9900,2025,n,149
6385434498170880,25,male,Lopeology,12600,2025,n,6
6393700531830784,287,mixed,Raritan Valley Relay Runners,7200,2025,n,161
6398579010699264,299,mixed,Doctor and the Degenerates,5400,2025,n,163
6405363649740800,119,female,Slow Maintenance,900,2025,n,31
6413145627164672,257,female,Bananrana,2700,2025,n,37
6415450984415232,102,mixed,Easier Said Than Run,0,2025,n,179
6416137709420544,127,mixed,Whine Trail,7200,2025,n,160
6416617470689280,112,mixed,Taste the Rainbow,0,2025,n,191
6416681458991104,250,mixed,Happy Feet,9900,2025,n,152
6418743949262848,204,mixed,All this for a cup of chili,2700,2025,n,171
6431849941303296,67,mixed,Flying Geese,12600,2025,n,146
6438298868252672,244,female,Heart and Sole,0,2025,n,28
6445929917841408,232,mixed,This isn't a wine tour?,900,2025,n,183
6460358424264704,64,female,Scrambled Legs and Achin,900,2025,n,23
6465449235578880,298,mixed,Mighty-chondria,9000,2025,n,147
6471557685706752,88,male,Boom or Bust Take 2,12600,2025,n,7
6479443245662208,44,mixed,Ohh The Hill with IT!!,3600,2025,n,169
6484224282460160,203,mixed,Ava's Avengers,5400,2025,n,168
6484933488934912,197,mixed,You guys here for the race?,5400,2025,n,165
6488602129203200,157,mixed,Worst Pace Scenario,2700,2025,n,166
6490283105583104,215,mixed,Down Downs Around the Lake,2700,2025,n,180
6490697066610688,32,male,Tiger Tough,2700,2025,n,16
6505335925768192,292,male,Hammer Squad,12600,2025,n,5
6522344130478080,150,mixed,GOLD RUSH 7. It was FUN! now we are done.,5400,2025,n,164
6526171986526208,109,mixed,Fast and Furious 7,3600,2025,n,156
6531778428796928,208,mixed,Peaks and Troughs,5400,2025,n,176
6538331575812096,79,mixed,Schweaty Thighs Tell No Lies,900,2025,n,177
6539316499054592,161,female,Who Runs the World? Girls!,0,2025,n,32
6543851984519168,106,mixed,The Sikorski 7,8100,2025,n,158
6546101138096128,196,mixed,Easier Said Than The Run,900,2025,n,181
6553883115520000,121,mixed,Buffalo Bounders,5400,2025,n,174
6555497889005568,295,mixed,High Tor Silverbacks,12600,2025,n,143
6556188472770560,286,mixed,Fried Legs & Toast,2700,2025,n,175
6557354959044608,209,mixed,RevRunners,5400,2025,n,148
6557418947346432,172,mixed,Wegmans ROCSTARS,8100,2025,n,162
6572587429658624,269,mixed,That Seven Pack Way in the Back,0,2025,n,186
6579036356608000,95,mixed,Joggernauts,9900,2025,n,150
6586667406196736,4,female,7 Moms in Need of a Drink,7200,2025,n,14
6601095912620032,159,mixed,Anonymous II,5400,2025,n,173
6606186723934208,147,mixed,Lactic Acid Trip,5400,2025,n,170
6606739533201408,285,mixed,Tin Fish & Tim Smith,8100,2025,n,153
6612295174062080,253,mixed,CopaBananas,3600,2025,n,172
6631020593938432,130,mixed,Dey Bow Bow,9900,2025,n,154
6631779427418112,262,mixed,Chasing Deadlines,9900,2025,n,151
6646073414123520,125,mixed,PR or ER,9000,2025,n,157
6649406442962944,73,female,Sole Slayers,12600,2025,n,3
6663081618833408,186,mixed,Tooty & The Go Fish,2700,2025,n,182
6700218925973504,245,mixed,Seven Strangers in Sneakers,5400,2025,n,159
6719773844963328,191,mixed,OLP Saturday Regulars,900,2025,n,187
6741833400975360,12,mixed,Lucky Strides,2700,2025,n,184
6746924212289536,252,male,Thighs Wide Shut,8100,2025,n,13
4668141518979072,244,mixed,The Shamrocks,0,2024,n,170
4676107878006784,24,mixed,Chafing Thighs and Chasing Lies,0,2024,n,117
4700097652719616,152,mixed,Sole 7rain,9900,2024,n,36
4714749832986624,96,mixed,Just Run Then Drink Beer,9900,2024,n,32
4720213803139072,228,mixed,14 Feet on Fire,1800,2024,n,132
4733768619261952,100,mixed,You Can't Be Naked Here,1800,2024,n,145
4779619509075968,44,female,7 girls and a baby,2700,2024,n,11
4788473852592128,168,mixed,Kicking Asphalt,1800,2024,n,167
4789102796865536,135,mixed,Runs N' Goses,2700,2024,n,97
4790375617134592,143,mixed,Agony of De Feet,1800,2024,n,163
4794896170876928,208,mixed,Misery Loves Company,9000,2024,n,85
4798416265674752,238,female,Molasses Run Club,9000,2024,n,3
4799189124907008,117,mixed,Quads of Fury,2700,2024,n,44
4804619976835072,99,mixed,Ferrari With Benefits,2700,2024,n,94
4805138325700608,41,mixed,Salsa and Chips,0,2024,n,101
4805509571936256,175,mixed,Seidel Sandwich,11700,2024,n,9
4805906990628864,98,mixed,Seal Team 7,2700,2024,n,87
4808879007334400,97,mixed,BRING BACK BIKES,9000,2024,n,57
4810466937274368,36,mixed,Wineosaurs,1800,2024,n,161
4816082271469568,123,female,The Hustler's,1800,2024,n,27
4816845366362112,16,mixed,Why Are We Driving?,2700,2024,n,83
4817966956806144,230,mixed,Doctor and the degenerates,0,2024,n,102
4821699719593984,289,mixed,Lil Shits,9000,2024,n,27
4822056067661824,252,mixed,Six pack with a chaser,11700,2024,n,1
4824222207574016,263,female,Running Rainbow,1800,2024,n,50
