,year,path,waypoint,lat,lon
139,2025,1,8,42.81291,-76.97708
140,2025,1,9,42.81291,-76.97709
141,2025,1,10,42.81214,-76.97699
142,2025,1,11,42.81171,-76.97696
143,2025,1,12,42.81063,-76.97686
144,2025,1,13,42.80924,-76.97685
145,2025,1,14,42.80766,-76.97687
146,2025,1,15,42.80718,-76.9769
147,2025,1,16,42.80475,-76.97712
148,2025,1,17,42.80239,-76.97736
149,2025,1,18,42.79901,-76.97765
150,2025,1,19,42.79843,-76.97768
151,2025,1,20,42.79776,-76.97767
152,2025,1,21,42.79734,-76.97761
153,2025,1,22,42.79598,-76.97731
154,2025,1,23,42.7949,-76.97703
155,2025,1,24,42.79316,-76.97665
156,2025,1,25,42.79146,-76.97627
157,2025,1,26,42.78892,-76.97572
158,2025,1,27,42.78847,-76.97566
159,2025,1,28,42.78796,-76.9756
160,2025,1,29,42.78746,-76.9756
161,2025,1,30,42.78705,-76.97561
162,2025,1,31,42.78632,-76.97568
163,2025,1,32,42.78575,-76.97581
164,2025,1,33,42.78527,-76.97596
165,2025,1,34,42.78304,-76.97687
166,2025,1,35,42.78206,-76.97728
167,2025,1,36,42.7809,-76.97766
168,2025,1,37,42.775,-76.97865
169,2025,1,38,42.77486,-76.97866
170,2025,2,0,42.77484,-76.97863
171,2025,2,1,42.77484,-76.97866
172,2025,2,2,42.77378,-76.97875
173,2025,2,3,42.77341,-76.97873
174,2025,2,4,42.77297,-76.97867
175,2025,2,5,42.77267,-76.97861
176,2025,2,6,42.77082,-76.97801
177,2025,2,7,42.76751,-76.97692
178,2025,2,8,42.76662,-76.97667
179,2025,2,9,42.76551,-76.97644
180,2025,2,10,42.76468,-76.97633
181,2025,2,11,42.7632,-76.97618
182,2025,2,12,42.7609,-76.97597
183,2025,2,13,42.75968,-76.97584
184,2025,2,14,42.75768,-76.9756
185,2025,2,15,42.75667,-76.97547
186,2025,2,16,42.7558,-76.97532
187,2025,2,17,42.7543,-76.97498
188,2025,2,18,42.75251,-76.97446
189,2025,2,19,42.74885,-76.97337
190,2025,2,20,42.74823,-76.97319
191,2025,2,21,42.74768,-76.97307
192,2025,2,22,42.74703,-76.97296
193,2025,2,23,42.74638,-76.97288
194,2025,2,24,42.7457,-76.97285
195,2025,2,25,42.74474,-76.97284
196,2025,2,26,42.74213,-76.97285
197,2025,2,27,42.73977,-76.97283
198,2025,2,28,42.73863,-76.9728
199,2025,2,29,42.73794,-76.97275
200,2025,2,30,42.73669,-76.97266
201,2025,2,31,42.73593,-76.9726
202,2025,2,32,42.73509,-76.97245
203,2025,2,33,42.73187,-76.97167
204,2025,2,34,42.7314,-76.97158
205,2025,2,35,42.73097,-76.97153
206,2025,2,36,42.73051,-76.97151
207,2025,2,37,42.72999,-76.97151
208,2025,2,38,42.72938,-76.97155
209,2025,2,39,42.7263,-76.97183
210,2025,2,40,42.72555,-76.97195
211,2025,2,41,42.72497,-76.97209
212,2025,2,42,42.72458,-76.97221
213,2025,2,43,42.72416,-76.97237
214,2025,2,44,42.72128,-76.97364
215,2025,2,45,42.72032,-76.97405
216,2025,2,46,42.7193,-76.97444
217,2025,2,47,42.71663,-76.97538
218,2025,2,48,42.71577,-76.97564
219,2025,2,49,42.71541,-76.97571
220,2025,2,50,42.71509,-76.97576
221,2025,2,51,42.71462,-76.97579
222,2025,2,52,42.70962,-76.9759
223,2025,2,53,42.70857,-76.97591
224,2025,2,54,42.70578,-76.97588
225,2025,2,55,42.70583,-76.97397
226,2025,3,0,42.70583,-76.97389
227,2025,3,1,42.70584,-76.9739
228,2025,3,2,42.70588,-76.97291
229,2025,3,3,42.706,-76.97073
230,2025,3,4,42.70636,-76.96543
231,2025,3,5,42.70649,-76.96357
232,2025,3,6,42.70633,-76.96352
233,2025,3,7,42.70615,-76.96348
234,2025,3,8,42.70562,-76.96348
235,2025,3,9,42.70297,-76.9635
236,2025,3,10,42.70195,-76.96351
237,2025,3,11,42.70089,-76.9635
238,2025,3,12,42.69997,-76.96346
239,2025,3,13,42.69997,-76.96346
240,2025,3,14,42.69947,-76.96344
241,2025,3,15,42.69716,-76.96344
242,2025,3,16,42.69518,-76.96348
243,2025,3,17,42.69207,-76.9635
244,2025,3,18,42.68941,-76.9635
245,2025,3,19,42.68918,-76.96348
246,2025,3,20,42.68901,-76.96344
247,2025,3,21,42.6888,-76.96333
248,2025,3,22,42.68774,-76.96236
249,2025,3,23,42.68655,-76.96125
250,2025,3,24,42.686,-76.96071
251,2025,3,25,42.68538,-76.95999
252,2025,3,26,42.68489,-76.95953
253,2025,3,27,42.68476,-76.95936
254,2025,3,28,42.68466,-76.95926
255,2025,3,29,42.68441,-76.95908
256,2025,3,30,42.6836,-76.95845
257,2025,3,31,42.68345,-76.95833
258,2025,3,32,42.68345,-76.95833
259,2025,3,33,42.68306,-76.958
260,2025,4,0,42.68304,-76.95793
261,2025,4,1,42.68361,-76.95664
262,2025,4,2,42.68411,-76.95555
263,2025,4,3,42.68333,-76.9549
264,2025,4,4,42.68262,-76.95435
265,2025,4,5,42.68245,-76.95424
266,2025,4,6,42.68184,-76.95407
267,2025,4,7,42.68137,-76.95399
268,2025,4,8,42.68072,-76.95386
269,2025,4,9,42.67974,-76.95368
270,2025,4,10,42.67953,-76.95353
271,2025,4,11,42.67897,-76.95289
272,2025,4,12,42.67854,-76.9525
273,2025,4,13,42.67758,-76.95174
274,2025,4,14,42.67671,-76.95106
275,2025,4,15,42.67587,-76.95033
276,2025,4,16,42.67503,-76.94985
277,2025,4,17,42.67383,-76.94914
278,2025,4,18,42.67383,-76.94915
279,2025,4,19,42.6736,-76.94901
280,2025,4,20,42.67348,-76.94939
281,2025,4,21,42.67334,-76.94926
282,2025,4,22,42.67326,-76.9492
283,2025,4,23,42.67315,-76.94911
284,2025,4,24,42.67297,-76.94897
285,2025,4,25,42.67271,-76.9488
286,2025,4,26,42.67206,-76.94844
