,color,distance,label,lat,lon,name,year
6236332124798976,#555555,53269.3,9,42.42841,-76.90517,Lakewood Vineyards,2022
6255550425726976,#555555,60919.3,10,42.38559,-76.85822,Clute Park,2022
6297637951111168,#555555,66552,11,42.43278,-76.86317,Hector Falls,2022
6292809132802048,#555555,76369,12,42.51984,-76.87355,Scale House,2022
4910318148911104,#555555,84254.8,13,42.58598,-76.85196,Idol Ridge,2022
6196439596138496,#555555,89243.7,14,42.6271,-76.84358,Billy's Burgundy Barn,2022
4855297403256832,#555555,95198.3,15,42.6759,-76.86417,Bonavista,2022
6219934543642624,#555555,102651.1,16,42.71996,-76.90301,Sampson (south),2022
6287887637151744,#555555,106826.7,17,42.74206,-76.91626,Sampson (north),2022
6276949294972928,#555555,111542.7,18,42.78306,-76.92658,Seneca Lake Camp,2022
4828957241245696,#555555,115727,19,42.81915,-76.93092,Zugibe,2022
4869574411419648,#555555,119750.4,20,42.85454,-76.93375,Bottomless,2022
4920318913150976,#ff7d78,125544,F,42.872,-76.97222,Finish,2022
5119037537255424,#408000,0,S,42.86657,-76.98338,Start,2021
6244937444098048,#555555,6115.5,1,42.81292,-76.97709,Roy's Marina,2021
5681987490676736,#555555,10460.7,2,42.77486,-76.97866,Kashong-ish,2021
5633693670440960,#555555,18346.5,3,42.70583,-76.97397,Anthony Road,2021
6205799084851200,#555555,21887.1,4,42.68311,-76.958,Dresden,2021
5714624192184320,#555555,29611.9,5,42.61907,-76.94358,Scenic Overlook,2021
6286334754816000,#555555,37014.9,6,42.55683,-76.92051,'Ol Fourteener,2021
5963462467387392,#555555,43613.2,7,42.50076,-76.92199,Glenora,2021
4878959871262720,#555555,48924.1,8,42.46503,-76.91644,Magnus Ridge,2021
5723384801394688,#555555,53269.3,9,42.42841,-76.90517,Lakewood Vineyards,2021
5079899178008576,#555555,60919.3,10,42.38559,-76.85822,Clute Park,2021
6526412420808704,#555555,66552,11,42.43278,-76.86317,Hector Falls,2021
5160434847973376,#555555,76369,12,42.51984,-76.87355,Scale House,2021
5070743717019648,#555555,84254.8,13,42.58598,-76.85196,Idol Ridge,2021
4837562560544768,#555555,89243.7,14,42.6271,-76.84358,Billy's Burgundy Barn,2021
5924324108140544,#555555,95198.3,15,42.6759,-76.86417,Bonavista Golf Course,2021
4798424201297920,#555555,101635.7,16,42.71163,-76.90204,Sampson State Park (south),2021
5400512513966080,#555555,105820,17,42.73895,-76.91224,Sampson State Park (north),2021
6277574145605632,#555555,111130.8,18,42.78306,-76.92658,Seneca Lake Camp,2021
4870199262052352,#555555,115315.1,19,42.81915,-76.93092,Zugibe,2021
5996099168894976,#555555,119338.5,20,42.85454,-76.93375,Bottomless,2021
5151674238763008,#ff6666,125132.1,F,42.872,-76.97222,Finish,2021
5685779242156032,#408000,0,S,42.86657,-76.98338,Start,2020
5690701543112704,#555555,6115.5,1,42.81292,-76.97709,Roy's Marina,2020
5665273424117760,#555555,10460.7,2,42.77486,-76.97866,Kashong-ish,2020
5732868995153920,#555555,18346.5,3,42.70583,-76.97397,Anthony Road,2020
5650850286403584,#555555,21887.1,4,42.68311,-76.958,Dresden,2020
5141527932174336,#555555,29611.9,5,42.61907,-76.94358,Scenic Overlook,2020
5745347150217216,#555555,37014.9,6,42.55683,-76.92051,'Ol Fourteener,2020
5704477885595648,#555555,43613.2,7,42.50076,-76.92199,Glenora,2020
6296522719232000,#555555,48924.1,8,42.46503,-76.91644,Magnus Ridge,2020
5170622812389376,#555555,53269.3,9,42.42841,-76.90517,Lakewood Vineyards,2020
5149907446923264,#555555,60919.3,10,42.38559,-76.85822,Clute Park,2020
5733572765810688,#555555,66552,11,42.43278,-76.86317,Hector Falls,2020
5636562473713664,#555555,76369,12,42.51984,-76.87355,Scale House,2020
5734901521317888,#555555,84254.8,13,42.58598,-76.85196,Idol Ridge,2020
