,b,c,n,w,y,p,bike
6533361979883520,191,mixed,We're Coming 77,0,2020,0.147,n
6551152304848896,134,mixed,Kilt it Last Year,3600,2020,0.15,n
6561021300834304,4,female,Chicks on the run,1800,2020,0.129,n
6614224704897024,244,mixed,The Shizz,7200,2020,0.149,n
6641049325797376,187,female,Team Chocolate Milk,6300,2020,0.132,n
6651261013196800,42,mixed,Integrated Circuit,3600,2020,0.145,n
6694438688522240,255,female,Ladies of the lake (we will burn your house down),7200,2020,0.152,n
6743464129593344,319,mixed,Orange You Glad To Be Running?,0,2020,0.171,n
4621151875629056,139,mixed,Presto & The Change-Os,0,2019,0.148,n
4645153025294336,253,mixed,Scrambled Legs,3600,2019,0.156,n
4669745471160320,35,female,The Life of Riley,6300,2019,0.147,n
4673780391608320,289,male,The Notorious R.U.N.N.E.R.S.,1800,2019,0.117,n
4676111417999360,137,male,Old Vegan Farts,3600,2019,0.161,n
4677148317057024,128,female,Pacemakers,0,2019,0.13,n
4683743977537536,69,male,7 Motley Misfits,0,2019,0.138,n
4691520619806720,218,male,Heath Street Athletic Club (of Engineers),10800,2019,0.172,n
4702270084087808,282,mixed,ROC Crew,7200,2019,0.148,n
4703733023768576,57,male,SEXTUPLE ENTENDRE plus one more,1800,2019,0.118,n
4707462062014464,292,female,Challenge By Choice,6300,2019,0.142,n
4710252247252992,92,mixed,Senecasaurus Rex,6300,2019,0.103,n
4717809544200192,98,mixed,Renegades of the Road,6300,2019,0.132,n
4718495564562432,208,female,Red Newt Racing,10800,2019,0.191,n
4722845359800320,217,mixed,The Informal Winers,7200,2019,0.153,y
4726768208445440,342,mixed,The Trail Markers,0,2019,0.121,n
4730415843639296,293,male,Tiger Tough,0,2019,0.145,n
4736403363594240,157,mixed,A Running Joke,1800,2019,0.123,n
4737686115975168,108,mixed,Not leavin' til' we're heavin',1800,2019,0.119,n
4741326201421824,174,male,Has Beens,3600,2019,0.156,n
4745030476496896,205,mixed,Prancing Ponies,0,2019,0.128,n
4747181919567872,78,mixed,Damn Gravity,1800,2019,0.123,n
4749147471085568,211,mixed,LORI'S LUNATICS,1800,2019,0.133,n
4753424520314880,278,female,Warrior Women II,1800,2019,0.129,n
4762429187686400,159,mixed,7 Running Friends Forever,3600,2019,0.145,n
4764076106317824,199,female,We Run to Burn Off the Crazy,0,2019,0.13,n
4765812950827008,106,mixed,Rochester Road Runners,6300,2019,0.144,n
4770390916202496,41,mixed,Integrated Circuit,3600,2019,0.153,n
4772248892211200,267,mixed,Team Tutu Much,1800,2019,0.115,n
4776407225860096,274,female,Screamin' Eagles,0,2019,0.144,n
4785890513649664,284,male,The Seven Splinty Shins Redux,6300,2019,0.14,n
4800847804366848,120,male,People Be Crazy,3600,2019,0.145,n
4810482959515648,203,female,Mother Fartlekers,3600,2019,0.145,n
4814517879963648,283,female,Sore Toes and Stinky Clothes,6300,2019,0.133,n
4816848906354688,79,female,Peer Pressure,1800,2019,0.123,n
4817885805412352,87,female,Sugar Hill Gang,6300,2019,3.251,n
4824481465892864,311,mixed,Higher Ed. Lower Expectations,6300,2019,0.127,n
4826625661206528,305,mixed,Oh Hill No!!!,1800,2019,2.555,n
4832258108162048,339,mixed,RevRunners,6300,2019,0.139,n
4843007572443136,104,mixed,Wildcat Runners Club,6300,2019,0.136,n
4844470512123904,182,mixed,Purple Gods and Green Goddesses,3600,2019,0.138,n
4845705919201280,14,mixed,Fourteen Feet,6300,2019,0.133,n
4848199550369792,158,mixed,Mid leg crisis,0,2019,0.124,n
4850989735608320,70,male,Seven Seventies for the Seneca7,6300,2019,0.133,n
4852645177065472,129,male,Checkers All Male Co-ed Team,3600,2019,0.144,n
4858547032555520,27,male,GTB,7200,2019,0.152,y
4859233052917760,243,mixed,Strong Hearts Vegan Power Team Tofu,0,2019,0.137,n
4863582848155648,254,female,Seven Strong,1800,2019,0.128,n
4867505696800768,147,female,7 aceneS,1800,2019,0.125,n
4871153331994624,341,mixed,5 Sassy Sistas & 2 Matey Mistas,1800,2019,2.823,n
4877140851949568,236,mixed,Wine-ing in Any Weather,0,2019,0.127,n
4878423604330496,34,male,Bottomless Brewing,10800,2019,0.199,n
4882063689777152,60,mixed,Lock 32 Brew Crew,6300,2019,0.132,n
4885767964852224,197,mixed,Will Run for Wine,3600,2019,0.126,n
4887919407923200,343,female,Wonder Women,0,2019,0.13,n
4889884959440896,138,mixed,Pending,0,2019,0.124,n
4894162008670208,268,mixed,Untrained Degenerates,1800,2019,0.132,n
4903166676041728,148,mixed,Bad Wolf,6300,2019,0.142,n
4904813594673152,40,male,FingerLakes On Tap,7200,2019,0.114,n
4906550439182336,102,mixed,Select Eurocar Speedies,3600,2019,0.145,n
4911128404557824,166,mixed,Disqualify This IV,10800,2019,0.188,n
4912157653204992,270,mixed,Seidel Sandwich,7200,2019,0.163,n
4912986380566528,21,male,Dirty Mike & The Boys,10800,2019,0.17,n
4917144714215424,94,female,The League of Extraordinary Moms,0,2019,0.142,n
4951220447870976,306,mixed,Glass Kickers,1800,2019,0.125,n
4972995596517376,312,mixed,I Thought This Was Speed Dating,1800,2019,2.555,n
4985208000479232,39,male,Why are we doing this again?,1800,2019,0.125,y
4988937038725120,91,male,Thought Criminals,6300,2019,0.14,n
4991727223963648,67,mixed,Depo's Crew,1800,2019,0.138,n
4999284520910848,244,mixed,Slow & Steady,1800,2019,0.114,n
5017878340304896,59,mixed,Chafing It Through The Streets,3600,2019,0.158,n
5030622447796224,15,female,Upstate Birds,10800,2019,0.16,n
5067365490360320,36,female,NY State of Grind,7200,2019,0.158,n
5082322781077504,2,female,Lucky 7,0,2019,0.126,n
5090253035536384,65,mixed,Seven Swans a'Sweating,1800,2019,0.122,n
5091957936226304,84,mixed,Prepping for the Zombie Apocalypse,0,2019,0.136,n
5095992856674304,327,mixed,A Million Legs Are Keeping Us Awake,0,2019,0.135,n
5098323883065344,99,female,Sassy 7,0,2019,0.098,n
5099360782123008,11,mixed,"716 7 RUNNERS, 1 TEAM, 6 BIKES",0,2019,0.123,y
5105956442603520,29,male,Cornell Running Club Running Club,10800,2019,0.203,n
5108100637917184,126,mixed,Stranger Ranger Danger,3600,2019,0.131,n
5113733084872704,193,male,Better at Runnin' Up a Tab,0,2019,0.147,n
5124482549153792,198,female,Seven Deadly Shins,1800,2019,0.132,n
5125945488834560,4,female,My Drinking Team Has A Running Problem,1800,2019,0.12,n
5127180895911936,246,mixed,"Runners, cause we suck at contact sports",1800,2019,0.124,n
5129674527080448,287,female,Bread Winners,0,2019,0.154,n
5132464712318976,83,mixed,Zombie YETI Endurance Training Team - ZYETT,10800,2019,0.181,n
5134120153776128,119,mixed,Abused by Willard- Saved by Geraldo,3600,2019,0.147,n
5140022009266176,97,mixed,OLP Saturday Regulars,0,2019,0.141,n
5140708029628416,310,male,Seneca Falls Tropics,0,2019,2.98,n
5145057824866304,194,mixed,What the Hill?,7200,2019,0.162,n
5148980673511424,165,female,"Get In Loser, We're Going Running",6300,2019,0.136,n
5152628308705280,200,mixed,Vantastic Voyagers,0,2019,0.133,n
5158615828660224,125,mixed,Oh the hill with it!,0,2019,0.136,n
5159898581041152,90,mixed,Hollow Leg,6300,2019,0.144,n
5163538666487808,324,female,RUNder Women,7200,2019,0.165,n
5167242941562880,247,mixed,7 Is Enough,1800,2019,0.119,n
5169394384633856,330,female,MIMtastics,1800,2019,0.124,n
5171359936151552,130,mixed,Call me an Uber,0,2019,0.129,n
5175636985380864,149,mixed,Wegmans ROCSTars,0,2019,0.142,n
5184641652752384,50,mixed,Lou's Playing Futbawl,1800,2019,0.138,n
5186288571383808,71,mixed,Sack of Troy,1800,2019,0.14,n
5188025415892992,26,mixed,Cornell bike team has no mercy,7200,2019,0.148,y
5192603381268480,231,mixed,SENECA LAKE EFFECT 7,0,2019,0.132,n
5193632629915648,56,female,Seven Women Wonders of the World,6300,2019,0.159,n
5194461357277184,177,male,Score This!!!,0,2019,0.143,n
5198619690926080,184,male,Syracuse Trail Runners,3600,2019,0.154,n
5208102978715648,303,mixed,Katies Cronies,3600,2019,0.144,n
5232695424581632,116,mixed,Running WTF,0,2019,0.13,n
5236730345029632,8,mixed,Uvas Locas,3600,2019,0.146,n
5239061371420672,151,mixed,BoneRot Progeny,0,2019,0.15,n
5240098270478336,145,female,Honey Badgers,1800,2019,0.13,n
5254470573228032,216,mixed,Winers Take All,0,2019,0.118,n
5265220037509120,195,mixed,Still I Run,0,2019,0.133,n
5266682977189888,331,mixed,Beasts of the Northeast,0,2019,0.131,n
5270412015435776,111,mixed,Dexy's Midnight Runners,0,2019,0.131,n
5273202200674304,10,male,Run One Race,1800,2019,0.145,n
5280759497621504,265,female,Warrior Women I,1800,2019,0.127,n
5281445517983744,12,mixed,Fartlek 7,6300,2019,0.137,n
5293365797060608,1,mixed,Lactic Acid Droppers,0,2019,0.142,n
5299353317015552,308,mixed,Y are we doing this?,6300,2019,0.136,n
5307980429918208,133,female,Urine Trouble,6300,2019,0.134,n
5310131872989184,251,mixed,"Nick, we're right behind you",0,2019,0.134,n
5312097424506880,179,mixed,Strong Hearts Vegan Power Team TVP,3600,2019,0.144,n
5316374473736192,43,male,Chafing the Dream,3600,2019,0.15,y
5325379141107712,121,female,The Pink Ladies,0,2019,0.128,n
5327026059739136,47,mixed,Get your shift in gear,0,2019,0.132,n
5348840467070976,20,mixed,Sole 7rain,7200,2019,0.157,n
5363797757788160,68,male,Magnificent 7,7200,2019,0.157,n
5373432912936960,96,mixed,TACOCAT,10800,2019,0.16,n
5377467833384960,143,mixed,Cool name pending season 2,1800,2019,0.128,n
5379798859776000,77,mixed,Too Legit To Quit,0,2019,0.147,n
5380835758833664,155,mixed,we eat between legs,7200,2019,0.148,n
5387431419314176,321,mixed,Run like your mama's chasing you!,3600,2019,3.156,n
5389575614627840,309,mixed,A Running Joke,7200,2019,0.15,n
5395208061583360,132,mixed,Wine(d) Me Up,1800,2019,0.126,n
5405957525864448,221,mixed,Slightly Corked,0,2019,0.138,n
5407420465545216,82,female,Tramps Like Us,0,2019,0.129,n
5408655872622592,329,mixed,Kilt It Last Year,3600,2019,0.15,n
5411149503791104,28,male,Hammer Squad,7200,2019,0.165,n
5413939689029632,290,female,My Seneca7 Team,10800,2019,0.173,n
5421496985976832,188,mixed,Fram!,0,2019,0.148,n
5422183006339072,13,male,We Used to Work in Chicago,3600,2019,0.148,y
5426532801576960,161,mixed,The Motley Crew,6300,2019,0.149,n
5430455650222080,48,female,Heart and Sole,3600,2019,0.149,n
5434103285415936,142,mixed,My Circus My Monkeys,0,2019,0.149,n
5440090805370880,33,male,ITC Rough Riders,0,2019,0.149,n
5441373557751808,233,mixed,The Tobinators,7200,2019,0.162,n
5445013643198464,210,female,Team Chocolate Milk,6300,2019,0.109,n
5448717918273536,280,male,The Sprinting Sloths,6300,2019,0.137,n
5450869361344512,214,mixed,The Horcruxes,10800,2019,0.165,n
5452834912862208,18,female,Women of Oregon East,3600,2019,0.145,n
5457111962091520,17,male,Gears & Beers,1800,2019,0.141,y
5466116629463040,168,female,Women Run Webster,1800,2019,0.119,n
5467763548094464,232,mixed,It Don't Get No Better,0,2019,0.135,n
5469500392603648,257,mixed,Our Drinking Team Has A Running Problem,6300,2019,0.093,n
5474078357979136,279,mixed,Roadkill Racing,10800,2019,0.18,n
5475936333987840,235,female,The Lady Parts,1800,2019,0.127,n
5480094667636736,38,mixed,PEDAL TO THE MEDAL,1800,2019,0.133,n
5535945549938688,117,female,Not Fast but Fabulous,0,2019,0.123,y
5548157953900544,323,mixed,Rose Valley Runners,1800,2019,0.328,n
5554677177384960,58,mixed,In it to Wine it,0,2019,0.125,n
5593572401217536,269,female,Coming in Hot,6300,2019,2.823,n
5630315443781632,176,mixed,Cab Savages,0,2019,0.13,n
5645272734498816,74,mixed,"Not fast, just fabulous",1800,2019,0.121,n
5646441334702080,307,female,Team Jxanthepus,0,2019,0,n
5653202988957696,5,mixed,Abominable Slowmen,0,2019,0.129,n
5654907889647616,207,mixed,Dead Woman's Glove,0,2019,0.129,n
5658942810095616,273,male,Moist Towelettes,3600,2019,0.145,n
5661273836486656,186,mixed,Burdett Bombers,0,2019,0.142,y
5662310735544320,45,male,Hot Mess Express,1800,2019,0.12,n
5668906396024832,114,female,BodyGlide-Bengay & Blisters,0,2019,0.133,n
5671050591338496,300,mixed,Where's The Finish Wine,1800,2019,0.116,n
5676683038294016,326,mixed,Da Bonnies and friends,6300,2019,0.131,n
5687432502575104,44,mixed,Between a Walk and a Hard Pace,1800,2019,0.121,n
5688895442255872,255,mixed,The Owl's Banana,7200,2019,0.152,n
5690130849333248,234,male,It Can't Get Any Worse,7200,2019,0.171,y
5692624480501760,185,female,I-B-PRO-FUN,0,2019,0.135,n
5695414665740288,163,mixed,Upstate Without A Paddle,3600,2019,0.15,n
5697070107197440,301,mixed,"We Are Never Doing This Again, Again",1800,2019,0.141,n
5702971962687488,141,male,7 Fabulous Fitness Friends,3600,2019,0.134,n
5703657983049728,259,mixed,Gulls and Buoys,0,2019,0.119,n
5708007778287616,105,mixed,Steve O's Allstar Juggernaut,6300,2019,0.133,n
5711930626932736,101,mixed,Undeniably Dairy,0,2019,0.167,n
5715578262126592,152,male,"We Wipe Between Our Legs!  No, Our Legs...",0,2019,0.134,n
5721565782081536,25,mixed,"Thank You Sir, May We Please Run Another",1800,2019,0.129,n
5722848534462464,187,mixed,Strong Hearts Vegan Power Team Seitan,0,2019,0.145,n
5726488619909120,250,female,Mind Over Miles,3600,2019,0.151,n
5730192894984192,248,mixed,Panda Patrol,3600,2019,0.123,y
5732344338055168,80,female,7 stories and a happy ending.,7200,2019,0.156,n
5734309889572864,338,mixed,Cornell Running Club Spackling Club,3600,2019,0.164,n
5738586938802176,271,mixed,The Purple Bananas,0,2019,0.13,n
5747591606173696,93,male,Weslor Team of Steel,0,2019,0.13,n
5749238524805120,62,female,Seven Sweating Siren (mythical) Sprinting (s)around Seneca Shore,7200,2019,0.15,n
5750975369314304,288,female,SeaPigs,6300,2019,0.146,y
5755553334689792,46,male,Sofa King Chafed,0,2019,0.154,y
5756582583336960,319,mixed,Worst Pace Scenario,0,2019,0.138,n
5757411310698496,123,mixed,Keymasters and Gatekeepers,7200,2019,0.162,n
5761569644347392,277,mixed,They Told Us Running Cures Hangovers,0,2019,0.129,n
5771052932136960,75,mixed,five chicks and two dudes,0,2019,0.115,n
5795645378002944,42,mixed,Hoboken Harriers,7200,2019,0.131,y
5799680298450944,318,female,Mother Runners,0,2019,0.135,n
5802011324841984,178,female,Victor She Devils,0,2019,0.152,n
5803048223899648,196,male,Ambitious Slackers,3600,2019,0.146,n
5817420526649344,202,female,Fast as a Mother,1800,2019,0.133,n
5828169990930432,115,mixed,77 Bottles 9.0,6300,2019,0.142,n
5829632930611200,325,mixed,Two Tired,0,2019,0.147,n
5833361968857088,212,female,Girls just want to have run,6300,2019,0.138,n
5836152154095616,22,mixed,Finger Lakin' Good,3600,2019,0.15,n
5843709451042816,201,female,Will Run For Wine,0,2019,0.142,n
5844395471405056,266,female,Chase Our Aces,0,2019,0.134,n
5848745266642944,313,mixed,Still Sucking Wind...Again,6300,2019,0.144,n
5852668115288064,110,mixed,"Run Whine, Run Whine, Run Wine",0,2019,0.135,n
5856315750481920,215,female,seven sins of running,7200,2019,0.143,n
5862303270436864,7,female,Broome Bituminous Products,3600,2019,0.143,n
5870930383339520,113,male,Ava's Avengers,1800,2019,0.117,n
5873081826410496,136,female,Mind Over bladder,0,2019,0.137,n
5875047377928192,190,female,7 Hot Motha' Runna'z,1800,2019,0.118,n
5879324427157504,160,female,7 Vintage Divas,1800,2019,0.12,n
5888329094529024,171,mixed,The Wolf Pack,6300,2019,0.13,n
5889976013160448,261,mixed,Johnson Cornell Swim!Bike!Run Club,7200,2019,0.163,y
5891712857669632,167,mixed,trolls under the bridge,1800,2019,0.128,n
5898148799053824,192,mixed,Drag-N-Fly,0,2019,0.125,n
5911790420492288,24,male,Running our Rkatsiteli off,1800,2019,0.124,n
5926747711209472,85,female,"Fast, Furious & Fit",7200,2019,0.155,n
5936382866358272,264,mixed,Running for Chardon-ayyyy,3600,2019,0.161,n
5940417786806272,294,female,Legs Miserables,0,2019,0.129,n
5942748813197312,109,female,7 Sole Sisters Missing Our Mister,1800,2019,0.127,n
5943785712254976,240,mixed,Kenosha Kickers,3600,2019,0.155,n
5950381372735488,72,mixed,14 Feet on Fire,0,2019,0.135,n
5952525568049152,209,female,Where's The Finish Wine?,0,2019,0.13,n
5958158015004672,335,mixed,7 Wonders,0,2019,0.141,n
5968907479285760,296,female,Suck It Up Buttercup,0,2019,0.128,n
5970370418966528,76,female,Mid Life Crisis,0,2019,0.126,n
5971605826043904,226,female,Swift Feet Fleet,1800,2019,0.126,n
5974099457212416,227,female,Fish out of water,0,2019,0.125,n
5976889642450944,239,female,Witty team name TBA,1800,2019,0.13,n
5978545083908096,314,mixed,See Ya Later Suckers,6300,2019,0.13,n
5984446939398144,118,mixed,We Put the RUN in drunk,6300,2019,0.14,n
5985132959760384,260,male,Roy G. Biv,6300,2019,0.168,n
5989482754998272,156,mixed,Short Shorts,0,2019,0.143,n
5993405603643392,332,female,7 salty roses,0,2019,0.125,n
5997053238837248,316,mixed,Where's The Finish,6300,2019,0.127,n
6003040758792192,146,mixed,Quit your Wine-ing,3600,2019,0.148,n
6004323511173120,64,male,NO SPEED NO TRUST,0,2019,0.119,n
6007963596619776,122,mixed,Clean Freaks,0,2019,0.146,n
6011667871694848,180,female,Green Goddesses - Take 7,1800,2019,0.134,n
6013819314765824,224,mixed,Easier Said Than Run,0,2019,0.126,n
6015784866283520,183,mixed,Cruisin' Then Boozin',6300,2019,0.129,n
6020061915512832,169,mixed,BOCES 2 Your Running Partner of Choice,1800,2019,0.128,n
6029066582884352,16,male,#itsjustrunning,10800,2019,0.178,n
6030713501515776,298,female,Pokemoms,1800,2019,0.126,n
6032450346024960,317,mixed,Running Wild,6300,2019,0.13,n
6037028311400448,304,mixed,Digging Deep,1800,2019,0.122,n
6038057560047616,112,mixed,Call Me a Cab...Again,0,2019,0.123,n
6038886287409152,63,mixed,Our Mascara Runs Faster Than You,3600,2019,0.151,n
6043044621058048,134,mixed,What The Hill?!?,1800,2019,0.13,n
6098895503360000,344,mixed,Sneaky7,3600,2019,0.134,n
6111107907321856,228,mixed,Long distance relay-tionship,0,2019,0.135,n
6114836945567744,153,mixed,Notorious RBG:  Run. Bike. Granola Bars.,0,2019,0.142,y
6117627130806272,162,mixed,Lauren made me do it...,3600,2019,0.153,n
6125184427753472,61,female,Phillips Team,6300,2019,0.13,n
6156522354638848,6,mixed,Team Cat Lovers,0,2019,0.132,n
6193265397202944,262,female,WMN PWR,6300,2019,0.136,n
6208222687920128,135,mixed,"It's my turn, AGAIN!!",0,2019,0.135,n
6217857843068928,285,mixed,If Our Gym Teachers Could See Us Now,0,2019,0.128,n
6221892763516928,86,male,Get in the van...I've got a plan,0,2019,0.145,n
6224223789907968,175,mixed,Early Air - Bad To The Bone,7200,2019,0.158,n
6225260688965632,286,mixed,What's 125k between friends,0,2019,0.142,n
6231856349446144,220,mixed,We make pour decisions,6300,2019,0.14,n
6234000544759808,281,male,Mikey's Minions,10800,2019,0.18,n
6239632991715328,263,mixed,SARATOGA 7,6300,2019,2.823,n
6250382455996416,237,mixed,The Magnificent Seven,0,2019,2.98,n
6251845395677184,66,female,We Can Still Win This,0,2019,0.128,n
6253080802754560,55,male,ICS,6300,2019,0.158,y
6255574433923072,272,mixed,GoldRushIsStreakin',3600,2019,0.138,n
6258364619161600,242,mixed,Disqualified Forever,0,2019,0.14,n
6260020060618752,252,female,Chafing Our Dreams,1800,2019,0.128,n
6265921916108800,320,mixed,"Just Another Generic, Semi-Funny Team Name",1800,2019,2.555,n
6266607936471040,154,female,Aspen 7,1800,2019,0.124,n
6270957731708928,337,mixed,Finger Lakes Health Heart and Soles,6300,2019,0.134,n
6274880580354048,334,mixed,Team Wiemer,10800,2019,0.187,n
6278528215547904,54,mixed,Semi-Dry Runners,10800,2019,0.174,n
6284515735502848,49,mixed,#BANKFLX,6300,2019,0.134,n
6285798487883776,333,mixed,Too Tired To Give  A Shift,0,2019,0.115,n
6289438573330432,245,mixed,Run Eat Laugh Repeat,0,2019,0.125,n
6293142848405504,181,male,The Finest Vintage,0,2019,0.129,n
6295294291476480,150,mixed,Pace It We're In Wine Country,3600,2019,0.148,n
6297259842994176,276,female,7 Sweaty Soles,0,2019,0.132,n
6301536892223488,100,female,7 Even Feistier Trash Bags,1800,2019,0.135,n
6310541559595008,249,male,AAO,3600,2019,0.148,n
6312188478226432,225,mixed,Beauties and the running beasts,3600,2019,0.116,n
6313925322735616,295,mixed,Getting The Band Back Together,1800,2019,0.122,n
6318503288111104,164,female,Chafing Like a Flock Star,1800,2019,0.121,n
6319532536758272,299,male,Toenails are for Sissies,0,2019,0.141,n
6320361264119808,95,mixed,Seven Pack is Back,1800,2019,0.136,n
6324519597768704,189,mixed,The Lost Flock Runs Free!,6300,2019,0.13,n
6334002885558272,103,male,Big Johnson Gang,0,2019,0.136,n
6358595331424256,322,male,Bad Idea Jeans,3600,2019,0.15,n
6362630251872256,256,mixed,Undertrained and Overconfident,1800,2019,0.129,n
6380370480070656,275,mixed,Club Done,1800,2019,0.123,n
6392582884032512,328,mixed,We thought they said rum,0,2019,0.142,n
6396311922278400,32,male,14 Feet vs. the Middle Finger,3600,2019,0.152,n
6399102107516928,3,female,Chicks on the Run,1800,2019,0.126,n
6406659404464128,291,mixed,Whine Tour,6300,2019,0.128,n
6419265703903232,81,mixed,Nutty Buddies,6300,2019,0.146,n
6425253223858176,124,mixed,Havana Apples,1800,2019,0.123,n
6433880336760832,336,mixed,Complete not Compete,1800,2019,0.12,n
6436031779831808,89,male,Running Cousins,0,2019,0.122,n
6437997331349504,172,mixed,Great Lakes Adventure Addicts,0,2019,0.137,n
6451279047950336,144,mixed,Kickin' Asphalt,3600,2019,0.146,n
6452925966581760,241,female,"A chick, some hens, and one tough old bird",1800,2019,0.134,n
6474740373913600,73,female,The Blankettes,1800,2019,0.131,n
6499332819779584,37,male,Oregon East,3600,2019,0.159,n
6503367740227584,219,female,Run for Noah,0,2019,0.128,n
6505698766618624,9,male,The Endicott Club,0,2019,0.139,n
6506735665676288,19,female,Seneca Cyclpaths,3600,2019,0.127,y
6513331326156800,23,male,BarkEater Brewery Boys,10800,2019,0.172,y
6515475521470464,206,mixed,The Snow Blows,6300,2019,0.128,n
6521107968425984,213,mixed,Run Your Hasselhoff,6300,2019,0.135,n
6531857432707072,140,mixed,Downhill Runners,6300,2019,0.139,n
6533320372387840,302,mixed,World's Okayest Team,1800,2019,0.123,n
6534555779465216,52,mixed,Team Ev,10800,2019,0.176,n
6537049410633728,204,mixed,Tooty and the Go Fish,3600,2019,0.137,n
6539839595872256,127,male,Tortugas Veloces,0,2019,0.141,n
6547396892819456,340,mixed,The Wolf Pack,0,2019,0.103,n
6548082913181696,230,mixed,Lost in the Finger Lakes,0,2019,0.118,n
6552432708419584,173,mixed,Holy Fit Not Again,6300,2019,0.128,n
6556355557064704,107,female,Another dRUNk Idea Gone Wrong,0,2019,0.143,n
6560003192258560,315,mixed,Roadie Scum,7200,2019,0.157,y
6565990712213504,223,female,Steph Strong,6300,2019,0.133,n
6567273464594432,222,mixed,Four Score and Three Years to Go!,6300,2019,0.161,n
6570913550041088,31,male,"Older, Faster, Stronger",10800,2019,0.212,n
6574617825116160,131,male,7 Prime Timers,6300,2019,0.143,n
6576769268187136,53,mixed,"The Mutually Preferred 6, and that other guy",0,2019,0.134,n
6578734819704832,191,female,Seven Sassy Soles,1800,2019,0.115,n
6583011868934144,170,female,I thought this was a 5K,3600,2019,0.145,n
6592016536305664,88,mixed,Peaceful Warriors,0,2019,0.124,n
6593663454937088,238,female,TC3 Pantherinas,0,2019,0.128,n
6595400299446272,258,female,Whine Run Wine,1800,2019,0.126,n
6599978264821760,30,mixed,The Shizz,7200,2019,0.158,n
6601836240830464,297,male,snobike,7200,2019,0.153,n
6605994574479360,229,mixed,We're in Training,1800,2019,2.555,n
6661845456781312,51,male,Pale Kenyans,7200,2019,0.155,n
4644706885566464,213,mixed,Finger Lakes Hearts and Soles ,6300,2018,12.497,n
4645878002352128,179,mixed,A Running Joke,0,2018,9.923,n
4651637889040384,34,female,Seneca Cyclpaths,0,2018,9.949,n
4664447629000704,273,mixed,Our Mascara Runs Faster Than You,3600,2018,10.077,n
4672855564353536,299,female,Chase Our Aces,0,2018,8.97,n
4677204956938240,282,female,Women Run Webster,1800,2018,10.322,n
4688744527429632,240,mixed,Only 1/7 Crazy,1800,2018,11.146,n
4707962090160128,166,mixed,Gears & Beers,0,2018,9.833,n
4711659721457664,256,female,"Full Time Moms, Part Time Runners",0,2018,9.807,n
4711876147544064,66,male,BarkEater Brewery Boys,11700,2018,12.471,n
4719892972437504,83,mixed,Tooty and the Go Fish,0,2018,8.765,n
4722909650092032,334,mixed,Just in Case,1800,2018,11.171,n
4725660241100800,167,mixed,Easier said than run,0,2018,9.743,n
4776991878283264,181,mixed,The Professionals,0,2018,8.816,n
4778327881547776,127,mixed,Our Drinking Team Has A Running Problem,6300,2018,11.403,n
4779335319814144,259,mixed,Team Wiemer,11700,2018,12.304,n
4785444373921792,60,mixed,Fourteen Feet,6300,2018,11.931,n
4786187671699456,105,mixed,NO SPEED NO TRUST,3600,2018,11.931,n
4786615490707456,215,mixed,Beauties and the Running Beasts,3600,2018,9.575,n
4787375498592256,313,mixed,Rochester Running Company Race Ambassadors,8100,2018,11.48,n
4792375377395712,150,female,Keep on Running,6300,2018,11.429,n
4796333458194432,68,mixed,Get Your Shift In Gear,0,2018,9.408,n
4799739837022208,170,female,"Oh, Hill No!!!",1800,2018,11.982,n
4805185117356032,346,mixed,Runyerbunzoff So We're Home Before Dark,6300,2018,11.763,n
4806926189723648,64,mixed,Disqualify This III,11700,2018,11.725,n
4813593052708864,308,female,Copper Tellurium (CuTe),1800,2018,11.48,n
4816404310130688,246,female,Red Newt Racing,11700,2018,11.12,n
4817942445293568,32,mixed,#eatsleeprunrepeat,0,2018,9.408,n
4819387768897536,252,mixed,The 607 Foodies,6300,2018,12.072,n
4820601365594112,325,male,7 Dudes,11700,2018,12.214,n
4822521417302016,239,mixed,Quit Your Wine-ing!,3600,2018,10.039,n
4824442676969472,315,mixed,A Fine Whine,0,2018,9.511,n
4829482015784960,84,mixed,4 Ironmen & 3 Ironbabes,0,2018,8.43,n
4833143743840256,348,mixed,The Seven Splinty Shins,3600,2018,10.656,n
4835851922046976,302,mixed,In It To Wine It,3600,2018,10.463,n
4839283131154432,23,mixed,Badda Bing - Badda Bong,8100,2018,11.635,n
4848699578515456,277,mixed,agony of de feet,8100,2018,11.313,n
4851071474204672,73,female,Quad Goals,8100,2018,11.068,n
4852397209812992,163,mixed,Cheesy Whiners,0,2018,9.781,n
4852613635899392,281,mixed,Which way to Cleveland?,0,2018,8.173,n
4853848371888128,190,mixed,Butt Sweat & Tears ,1800,2018,9.73,n
4860630460792832,208,mixed,77 Sunset Trip ,1800,2018,10.335,n
4862962829361152,16,male,Oregon East,8100,2018,11.249,n
4863647138447360,331,mixed,The Significant 7,0,2018,9.215,n
4866397729456128,104,mixed,Midlifecrisis,6300,2018,10.541,n
4869201873338368,270,mixed,Running Cousins,0,2018,10.412,n
4872038967672832,298,male,It's Just Running,11700,2018,12.355,n
4879312226353152,202,mixed,Strong Hearts Vegan Power - Team Reuben,3600,2018,10.193,n
4883157228716032,287,female,#girlsquad,0,2018,10.142,n
4885736423686144,26,mixed,Herding Cats,0,2018,9.485,n
4888703440781312,187,male,The Notorious R.U.N.N.E.R.S.,0,2018,10.541,n
