,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,overall
4528381639000064,,6.451612896288587,8.69565216131065,5.7692307636834315,8.333333321759259,6.521739123345935,8.108108097151204,6.122448973344439,5.17241378864447,8.450704213449713,6.060606054484236,7.058823521107266,6.451612896288587,6.382978716613851,5.825242712791026,6.382978716613851,7.228915653941064,5.9999999939999995,7.69230768244576,5.940594053524164,6.818181810433883,5.6074766302733865,6.497862843734195
4553972228554752,,6.666666659259259,7.4074073982624595,6.382978716613851,7.4074073982624595,8.955223867231009,8.108108097151204,6.666666659259259,5.940594053524164,7.317073161808447,7.142857134353741,5.9999999939999995,8.823529398788928,6.976744177934018,6.382978716613851,6.818181810433883,6.666666659259259,6.666666659259259,6.976744177934018,8.108108097151204,7.894736831717452,6.185567003932405,6.939393179599728
4573527147544576,,7.058823521107266,7.999999989333333,6.976744177934018,7.4074073982624595,7.792207782088042,8.108108097151204,7.894736831717452,6.31578946703601,7.594936699246915,7.317073161808447,5.8823529354094575,7.228915653941064,6.976744177934018,7.792207782088042,6.976744177934018,7.142857134353741,6.666666659259259,6.451612896288587,7.058823521107266,7.894736831717452,7.69230768244576,7.093910873913466
4590327012786176,,6.666666659259259,6.89655171621086,6.122448973344439,7.058823521107266,6.976744177934018,7.4074073982624595,8.450704213449713,5.940594053524164,7.317073161808447,6.451612896288587,5.0420168024856995,6.89655171621086,6.382978716613851,8.108108097151204,6.818181810433883,6.249999993489583,6.666666659259259,5.40540540053567,6.7415730261330635,6.818181810433883,8.108108097151204,6.540862848008066
4605379832971264,,6.666666659259259,3.296703294891921,5.9999999939999995,7.4074073982624595,5.660377353150587,7.4074073982624595,5.9999999939999995,6.122448973344439,3.208556148016815,6.31578946703601,5.17241378864447,6.451612896288587,5.357142852359694,6.185567003932405,6.818181810433883,5.0420168024856995,5.9999999939999995,7.228915653941064,5.714285708843537,6.249999993489583,5.825242712791026,5.608983351484043
4608712861810688,,6.451612896288587,6.89655171621086,5.7692307636834315,6.7415730261330635,6.122448973344439,7.894736831717452,5.9999999939999995,6.521739123345935,6.666666659259259,6.31578946703601,5.555555550411522,5.454545449586776,7.499999990625,5.9999999939999995,7.499999990625,5.9999999939999995,5.454545449586776,5.940594053524164,5.309734508575455,8.333333321759259,5.8823529354094575,6.217519831739741
4649611117461504,,7.317073161808447,7.999999989333333,6.122448973344439,6.382978716613851,6.249999993489583,6.7415730261330635,9.523809508692366,6.7415730261330635,7.999999989333333,6.451612896288587,5.8823529354094575,6.185567003932405,5.8823529354094575,8.823529398788928,7.228915653941064,7.228915653941064,6.666666659259259,6.249999993489583,6.185567003932405,6.249999993489583,8.69565216131065,6.719515703054102
4649855897042944,,7.792207782088042,5.40540540053567,6.666666659259259,7.058823521107266,6.382978716613851,8.823529398788928,9.523809508692366,7.228915653941064,5.357142852359694,6.060606054484236,5.8823529354094575,6.451612896288587,7.894736831717452,9.230769216568047,7.499999990625,4.7999999961599995,7.499999990625,6.451612896288587,6.451612896288587,9.374999985351563,8.69565216131065,6.736994212088664
4655346140315648,,7.499999990625,6.666666659259259,6.249999993489583,7.058823521107266,7.999999989333333,7.69230768244576,7.69230768244576,6.976744177934018,6.666666659259259,7.317073161808447,5.555555550411522,7.594936699246915,6.818181810433883,8.450704213449713,6.818181810433883,6.249999993489583,7.499999990625,7.4074073982624595,6.7415730261330635,7.142857134353741,7.999999989333333,6.9478390381542905
4659014780583936,,6.818181810433883,6.666666659259259,6.666666659259259,6.382978716613851,7.594936699246915,6.382978716613851,6.451612896288587,6.122448973344439,6.976744177934018,7.142857134353741,5.454545449586776,6.7415730261330635,5.454545449586776,6.382978716613851,6.818181810433883,5.6074766302733865,7.499999990625,5.555555550411522,6.7415730261330635,5.9999999939999995,5.8823529354094575,6.241938716644741
